
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:46] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 22:46] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 22:46] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:46] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 22:48] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 22:48] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 22:48] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 22:49] Sender method: SavePoints # Points were saved successfully
[12.7.2017 | 16:34] Sender method: LoadCurrencyDetails # Currency details were load successfully
[12.7.2017 | 16:34] Sender method: LoadCommands # Commands Loaded
[12.7.2017 | 16:34] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[12.7.2017 | 16:34] Sender method: SaveData # Points were saved successfully
[12.7.2017 | 16:38] Sender method: LoadCurrencyDetails # Currency details were load successfully
[12.7.2017 | 16:38] Sender method: LoadCommands # Commands Loaded
[12.7.2017 | 16:38] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[12.7.2017 | 16:38] Sender method: SaveData # Points were saved successfully
[12.7.2017 | 16:38] Sender method: SaveData # Points were saved successfully
[12.7.2017 | 23:00] Sender method: LoadCurrencyDetails # Currency details were load successfully
[12.7.2017 | 23:00] Sender method: LoadCommands # Commands Loaded
[12.7.2017 | 23:00] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[12.7.2017 | 23:00] Sender method: SaveData # Points were saved successfully
[13.7.2017 | 0:29] Sender method: LoadCurrencyDetails # Currency details were load successfully
